"food_desert","mean_obesity","sd_obesity","mean_diabetes","sd_diabetes","count"
"Not Food Desert",30.9444267515924,6.19695743805328,9.17754777070064,3.55111533652182,628
"Food Desert",37.4073529411765,5.8058799358982,12.1911764705882,4.68696333166061,136
