"food_desert","n_tracts","avg_obesity","avg_diabetes","avg_poverty","avg_income"
"Not Food Desert",628,30.9444267515924,9.17754777070064,14.7847133757962,82002.0659163987
"Food Desert",136,37.4073529411765,12.1911764705882,27.2360294117647,43175.7703703704
